name,lat,lon
Hanumanpet,17.446169,78.5265298
Jyothi Nagar,17.4431803,78.5247917
Anandh Bagh,17.4593619,78.5360999
Mallikarjuna Nagar,17.4495057,78.5274203
Tukaram Gate,17.4410718,78.5222061
Muudu Gudulu,17.4715398,78.5391654
Neredmet Old PS,17.4738936,78.5386343
Vinayak Nagar,17.469273,78.5391171
Krupa Complex,17.46521,78.5385377
VLCC Bus Stop,17.4141424,78.423745
Nagole X Road,17.3754928,78.5579136
Chaitanyapuri Bus Stop,17.3685468,78.5329092
Dubai Gate,17.4721238,78.484531
Mahatma Nagar,17.4691107,78.4834527
Rajiv Gandhi Nagar,17.4413689,78.3627758
VNRVJIET Student Bus-Stop,17.539847,78.3862085
Indra Nagar,17.4409616,78.360012
Kacheguda Railway Station Bus Stop,17.3897353,78.4986692
Chintal Basti,17.4070738,78.4606872
,17.4428937,78.5039242
,17.4366218,78.5195776
Cyber Gateway,17.4472459,78.3778986
Nagarjuna Circle Bus Stop,17.4272928,78.4450291
Sri Nagar Colony Bus Stop,17.4301846,78.442438
Banjara Hills Road No.2 Lumbini Mall,17.4258368,78.4359253
Lingampalli Railway Station,17.483695,78.3165842
Gachibowli,17.4385641,78.3643036
Gachibowli,17.439004,78.3629707
GPRA Quarters Enterance,17.4382485,78.3580736
Chikkadpally,17.4035699,78.495308
Chikkadpally,17.4020317,78.4951256
Mudfort,17.4569355,78.4948998
Center Point,17.4641985,78.4843442
Nanalnagar,17.3959377,78.4270188
Rethibowli,17.3960184,78.4307445
HCU Bus Depot,17.4684811,78.3311457
Gachibowli Stadium,17.4494087,78.3484676
Roda Mistry College,17.4281236,78.3753876
Narayanamma College,17.4099224,78.3985713
Shaikpet Dargah,17.4132032,78.3945807
Lingampally,17.4944937,78.3159192
Tolichowki,17.3986352,78.4168535
Sheikpet Nala,17.4062572,78.4031042
HCU Bus Depot,17.468348,78.3309525
Gulmohar Park Colony,17.4788198,78.3199881
Khajaguda X Roads,17.422995,78.3812764
Salarjung Colony,17.3969305,78.4223255
Telecom Nagar,17.4350994,78.3680692
Alind / Doyens Colony,17.4766959,78.3247758
Galaxy,17.4028251,78.4100567
Tolichowki,17.3989449,78.4154157
HCU,17.4617157,78.3359951
Rethibowli,17.3957045,78.4308438
Galaxy,17.4034981,78.4092359
Alind / Doyens Colony,17.4766062,78.3246229
Lingampally,17.4944145,78.315769
Sheikpet Nala,17.4062472,78.4035656
Salarjung Colony,17.3966902,78.422105
Roda Mistry College,17.4279875,78.3751237
Nanalnagar,17.3962507,78.4270607
Narayanamma College,17.4098968,78.3982655
Lingampalli Railway Station,17.4836188,78.3168445
Gulmohar Park Colony,17.4779069,78.3199747
HCU,17.4623917,78.3351475
Telecom Nagar,17.4351458,78.367504
HCU Small Gate,17.4567518,78.3399872
Mehdipatnam,17.3947601,78.437989
HCU Small Gate,17.4569204,78.3395849
Gachibowli Stadium,17.4499788,78.3471358
Cyberabad Police Commissionerate,17.4325045,78.3701881
Cyberabad Police Commissionerate,17.4319465,78.3714355
Sarojini Devi Eye Hospital,17.3978696,78.4434153
Sarojini Devi Eye Hospital,17.3987911,78.4448449
Mehdipatnam,17.3956739,78.4412338
Mehdipatnam,17.3946168,78.4392847
Lakdi-ka-pool,17.40478,78.4610966
Chaderghat,17.3773493,78.4939991
Chaderghat,17.3772086,78.4924782
Moosarambagh,17.3696562,78.516472
Chermas,17.3729311,78.5055031
Dilsukhnagar,17.3687814,78.5240908
LB Nagar City Bus Stop,17.3486646,78.5490541
Dilsukhnagar,17.3684307,78.5234283
Nalgonda X Roads,17.3753647,78.4985746
LB Nagar Bus Stop,17.3462745,78.5516485
Chaitanyapuri,17.3682899,78.5302921
Fruit Market Bus Stop,17.3687195,78.5371176
Malakpet Market,17.3743569,78.5032335
Malakpet Bus Stop,17.3740315,78.499935
Dilsukhnagar,17.3684129,78.5245602
LB Nagar,17.3458535,78.5521977
,17.3700425,78.5139933
Panama,17.3384414,78.5687124
Panama,17.3379617,78.5690846
Imlibun,17.3772034,78.4865157
Imlibun,17.3766708,78.4862341
TSRTC CBS BUS STAND,17.3784864,78.4817136
TSRTC CBS BUS STAND,17.3779509,78.4813912
Nampally,17.3954587,78.4705909
Public Gardens,17.3968067,78.4708596
,17.400341,78.469852
RBI,17.4058277,78.4674199
,17.4127086,78.4712086
Koti Women's College,17.3850259,78.4884201
Sarojini Devi Eye Hospital,17.3982153,78.4437748
Masab Tank JNTU,17.4032751,78.4564939
NMDC,17.398973,78.4495254
Bank Street,17.3855251,78.4816314
All India Radio,17.4019366,78.4691377
Super Bazaar,17.3724345,78.5092099
Dwaraka Nagar,17.3628066,78.5438533
Vanasthalipuram,17.33679,78.5741408
Bhagyalatha,17.3327985,78.5895099
Hayathnagar Bus Depot,17.3301662,78.5941849
RTC Colony,17.3283254,78.5995869
Chintalkunta,17.3408353,78.5625858
NTR Nagar Bus Stop,17.3548831,78.5458945
Check Post,17.3425656,78.5564492
Vanasthalipuram,17.3365928,78.5736125
Dwaraka Nagar,17.3627858,78.5435264
High Court Colony,17.3348161,78.5847838
,17.4584484,78.3673638
Taranagar,17.489631,78.3193388
Taranagar,17.4895282,78.3193095
Gandhi Hospital,17.4241182,78.5019947
Nizam College,17.3976544,78.4753629
Abids Grammar School,17.3930165,78.4763954
,17.3307424,78.6076925
,17.3331355,78.6114941
Mother Dairy,17.3361288,78.6143188
Check Post,17.3430236,78.5563699
,17.336273,78.5787408
Dilsukhnagar,17.3684433,78.5228597
LB Nagar,17.3500083,78.5475524
Doctors Colony Bus Stop,17.355619,78.5452928
Bhagyalatha,17.3327498,78.5890542
A.C. Guards,17.4028042,78.4594873
NMDC,17.3987603,78.4494264
,17.4410694,78.4924461
Paradise,17.4414634,78.4877909
Bandlaguda,17.3595939,78.3876922
Chilkur Balaji Temple,17.3570645,78.2999547
,17.4317624,78.4475007
Bandlaguda,17.3714708,78.5694911
Nagole to Bandlaguda,17.3765096,78.5589077
Nagole to Kothapet,17.3762526,78.557441
Nagole X Road,17.3774867,78.5577208
JNTU Bus Stop,17.496407,78.3944344
Medical College Bus Stop,17.3831041,78.4828127
Alkapuri Bus Stop,17.3651918,78.5568927
Moosarambagh Bus Stop,17.3765437,78.5145697
Water Tank,17.4190085,78.4479002
,17.2618802,78.3879646
Secunderabad,17.476244,78.5104189
Wellington Road,17.4688315,78.5082869
GVK One,17.4192552,78.4479864
City Center,17.4158228,78.4489433
,17.4112354,78.4829745
,17.4107607,78.4764285
Uppal 'X' Roads,17.4007724,78.5604947
Uppal,17.4016547,78.5688139
Uppal 'X' Road,17.4016983,78.56019
Uppal Circle,17.4013224,78.5596644
Mythrinagar Bus Stop,17.4951062,78.3456791
Allwyn Colony Bus Stop,17.4937783,78.3497281
Radhika,17.4771342,78.563299
,17.4366898,78.4328757
APSRTC Pushpak,17.4084692,78.4735778
Chey Number,17.3911811,78.5108995
6 Number,17.3918602,78.5107867
Syndicate Bank Bus Stop,17.3973693,78.5120339
Syndicate Bank Bus Stop,17.3983884,78.5123783
church bus stop,17.4990474,78.3083811
Temple Bus Stop,17.4999711,78.2987109
ntr stadium bus stop,17.4108441,78.4849278
Suchitra Bus Stop,17.4995311,78.4765646
dubai gate bus stop,17.4704621,78.4811663
hill fort,17.4050023,78.476374
Assembly,17.4005079,78.4696684
Ranigunj,17.4294982,78.4881643
"James Street, M.G. Road",17.4354446,78.4883801
bible house,17.430425,78.4921823
Basheerbagh,17.4050023,78.4769104
Paradise,17.443076,78.4862636
Paradise,17.440557,78.4881924
khairatabad,17.413593,78.4609563
Mahavir Hospital,17.4029577,78.4583929
ashok nagar,17.4089749,78.4898639
amber pet,17.391604,78.5162173
Anjaya Nagar,17.4521229,78.3637319
Ashok Nagar,17.4084652,78.4896646
Gandhi Nagar,17.4126307,78.4885557
,17.2973001,78.4186127
Anand Theatre,17.4432667,78.4821046
,17.482051,78.5372675
,17.4822594,78.5372412
"Sai Baba Temple, Gudimalkapur",17.3865919,78.4398828
Uppal Ring Road,17.4025065,78.5594709
Shobana Bus Stand,17.4636333,78.4525943
,17.3219774,78.4017154
Yousufguda basti,17.4365057,78.4339221
Yousufguda Basti stop,17.4367359,78.4321998
Yousufguda checkpost,17.4365545,78.4282035
Yousufguda checkpost,17.4365604,78.427961
Santoshnagar,17.3467185,78.5081947
JNTU bus stop,17.4964098,78.3955361
Kalyan Nagar Jn Bustop,17.4442963,78.4331967
,17.4305963,78.4209562
Secretriat Bus Stop,17.4083494,78.4720874
Liberty,17.407482,78.4766011
Liberty,17.4071019,78.4762585
Liberty,17.4055586,78.4770552
M.I.G bus stop,17.4874175,78.3913986
hitex bus stop,17.4560989,78.3774684
,17.4262292,78.4153658
,17.427057,78.4157649
,17.4309126,78.420884
Kukatpally Bus Stop,17.4835823,78.4131832
as rao nagar,17.4795171,78.5582876
,17.4279255,78.3413112
,17.3943895,78.434545
,17.5030312,78.5084751
citizens colony bus stop,17.5132576,78.4937689
IG Statue Bus stop,17.5086672,78.5036851
Subash Nagar bus stop,17.485212,78.502751
"Rajiv Nagar, Sai Baba temple bus stop",17.489498,78.5046124
Bhoodevi Nagar Bus Stop,17.4915113,78.5030996
Bhoodevi nagar junction bus stop,17.4919718,78.5049825
,17.4831554,78.4996168
Lakdawala Bus Stop,17.512541,78.5202577
Alwal Bus stop,17.5015161,78.5141154
,17.3746373,78.5606156
,17.282782,78.4116236
Lingampally Railway Station,17.4829088,78.3203266
Lingampally Railway Station,17.4830399,78.3205354
Prakash Nagar,17.4443086,78.4722788
Prakash Nagar,17.4440393,78.4713855
dulapally,17.5467126,78.4668466
Mehdipatnam Bus Stop,17.395382,78.4406639
Greenspace Prime,17.4026879,78.3657916
,17.4082906,78.4731332
,17.4100969,78.4760235
,17.4311888,78.4881289
,17.3735421,78.4759411
,17.4215893,78.4845915
,17.371411,78.478087
,17.371952,78.4801645
,17.4339129,78.4558023
Panjagutta,17.4269282,78.4527079
Paradise Bus Stop,17.4427338,78.4874255
maisammaguda,17.5622944,78.4538019
Apprell Export Park,17.5637645,78.466594
kompally,17.5447029,78.491842
gundlapochampally,17.568913,78.480271
kompally,17.5401462,78.4909369
kandlakoya,17.5916202,78.4928378
devaryamjal,17.5677743,78.5230714
dommarapochampally,17.5913177,78.4181208
bowrampet,17.5615155,78.4032321
pothayapally,17.5673475,78.5394093
bahdurpally village,17.5598956,78.438233
Nizampet X road bus stop,17.4985768,78.3909239
Ayodhya x road,17.5892934,78.4733621
BITS Pilani,17.54735,78.572276
Yadhagiripalli X Road,17.5380295,78.6309349
Bundlaguda,17.5012729,78.622335
Chiryala,17.5199382,78.6279076
Chiryala,17.5150778,78.6272162
Boduppal NTR Statue;NTR Statue,17.412183,78.5856175
,17.4059854,78.4896534
,17.4014511,78.4888654
Narayanaguda bus stop,17.4004311,78.4894669
,17.3995935,78.4864778
Uppal to secundrabad bustop,17.4020163,78.5597253
,17.4059013,78.4896108
Ramantapur studio bustop,17.3965091,78.5293385
,17.3988371,78.4940284
Lb Nagar to Uppal,17.3473025,78.5515143
Lb Nagar City Bus Stop,17.3472324,78.5498097
Kamineni bus stop,17.3525557,78.555611
Kamineni to Uppal,17.3531037,78.5555993
Shamshabad bus stop,17.2625542,78.3876763
NGO'S bus stop,17.3246469,78.5661745
Rasoolpura,17.4436129,78.4748667
Lingampally,17.4951023,78.3159771
Gangaram,17.4951629,78.3326521
,17.3553252,78.4702895
Gangaram,17.4954155,78.3323683
Madhapur-Hi Tech city-Kondapur,17.4395401,78.3959296
Jaipuri Last bus stop,17.3792607,78.5724297
Saidabad bus stop,17.3603573,78.5045666
Virat Nagar and New Maruthi Nagar Bus Stop,17.3385466,78.5217052
Chanikyapuri Colony Bus Stop,17.3627658,78.5638404
Bowenpally checkpost Bus Stop,17.4754007,78.473989
Masab Tank Bus Stop,17.4041862,78.4522692
Bustop,17.4455592,78.3519362
Bus stop 2,17.4322281,78.3785652
IIIT Bus stop1,17.4462582,78.351225
Gachibowli flyover bustop,17.4408024,78.3607926
,17.439886,78.363404
Shaikpet Dargah,17.4129007,78.3951039
HPS Bus Stop,17.3996282,78.5374457
Uppal 'X' Road Bus Stop,17.401622,78.5596839
Airport bus stop,17.4026831,78.4579947
Domalguada Bus top,17.4100351,78.4865195
Jamestreet bus stop,17.4358309,78.488637
,17.4201797,78.5167256
,17.4197433,78.5173626
,17.4176627,78.5193059
,17.4177407,78.5194239
,17.4064622,78.3762297
chintal bus stop,17.4948321,78.4519579
Bus Parking 2,17.5970849,78.4432861
kamala nagar bus stop,17.3297742,78.5791414
Madhapur Image Gardens,17.4462587,78.3853261
Madhapur Image Gardens,17.4461737,78.3850424
"TSRTC BUS STAND , HAYATNAGAR",17.3274768,78.6048385
,17.4623757,78.5616593
Bandlaguda Bus Stop,17.3595923,78.3880368
Fever Hospital,17.3954325,78.5024824
,17.3526315,78.3769932
,17.3520925,78.3764917
,17.4949272,78.3945966
Ganesh nagar bustop,17.4909298,78.4510134
idpl bustop,17.4875009,78.4500601
Chandanagar Bus Stop,17.4950021,78.3229702
Chandanagar Bus stop,17.4951337,78.3229158
Hemanagar Bus Stop,17.4230516,78.5666056
,17.3880126,78.471976
Chilkalguda bus Stop,17.4295326,78.5127952
Namalagundu Bus Stop,17.4252981,78.5148611
Seethafalmandi Bus Stop,17.4275784,78.5174116
Namalagundu Bus Stop,17.422247,78.5169263
Jeedimetla Bus Stop,17.5266275,78.44044
Substation Bus Stop,17.522617,78.4438035
Clock Tower Circle Bus,17.440645,78.4971759
Secunderabad Uppal Bus Stop,17.4369415,78.5052015
Kothaguda,17.4588091,78.3672857
kolafarm,17.5130853,78.5544977
Krupa Complex,17.4648077,78.5386272
Muudu Gudulu,17.4717388,78.5390215
Neredmet Old PS,17.4747526,78.5380458
Janapriya Bus stop,17.4420476,78.5661125
Deepthi Sri Nagar,17.4953362,78.3405813
lingampally main bus stop,17.4947084,78.3168984
A.S. Rao Nagar,17.4799497,78.5568336
Radhika Busstop,17.4775467,78.5624222
Ameerpet,17.4346781,78.4491099
almasguda bus stop,17.3091766,78.5331199
police line bus stop,17.4368679,78.4235911
Beeramguda busstop,17.5092834,78.3001936
medipatnam bus stop,17.3952865,78.4352397
Jaipuri colony bus stop,17.371557,78.5694429
Subhadranagar Bus Stop,17.3287721,78.5835166
Allwyn colony,17.5018822,78.4189175
kushaiguda,17.4803341,78.5749601
Nagaram Bus stop,17.4879595,78.6008563
VST Bus Stop,17.404087,78.503738
,17.4090807,78.5087684
shanker mutt bus stop,17.4008542,78.5080708
,17.409455,78.5066988
dsnr,17.3761325,78.5569899
,17.3511191,78.3581379
,17.350817,78.3580414
,17.3393362,78.3619614
,17.3394137,78.3619584
,17.3387322,78.3637925
,17.3399442,78.36871
,17.341405,78.3727709
,17.3294749,78.5536367
Boduppal Ambedkar statue,17.4184052,78.5845384
Boduppal Ambedkar statue,17.4183442,78.5845955
,17.3588326,78.5248567
,17.3565363,78.5300615
Santhosimata Temple Bus Stop,17.4687204,78.5444013
Santhosimata Temple Bus Stop,17.4686002,78.5445726
Miyapur Bus Stop,17.4960657,78.358174
Miyapur Bus Stop,17.4956452,78.3580186
Miyapur X Road Bus Stop,17.4967452,78.3632758
Miyapur X Road Bus Stop,17.4964001,78.3627254
,17.3728388,78.4993697
,17.3721098,78.4994461
,17.3638368,78.5019439
,17.3640455,78.5020874
,17.351786,78.507077
,17.3517885,78.5074619
,17.351969,78.5075625
,17.3595443,78.5047676
,17.3595251,78.5046516
Balaji hills colony bustop,17.414842,78.5710841
uppal - kushaiguda,17.4019433,78.560849
,17.4015854,78.5622183
,17.4014901,78.5652061
,17.4013698,78.5625373
Amberpet bus stop,17.3922547,78.5167397
ammuguda,17.4969771,78.5324672
Balaji nagar,17.5124509,78.5579604
Balaji nagar,17.5127203,78.5626794
Cpl Amberpet Bus stop,17.3865699,78.516708
Boduppal bustop,17.4047353,78.5865032
Boduppal bustop,17.4045179,78.5865916
,17.4013874,78.5714637
,17.4013519,78.565498
,17.4099864,78.5079415
nallakunta busstop,17.4079329,78.5135334
kukatpally bus stop,17.4839048,78.4122815
Mehdipatnam Bus Station,17.3946964,78.4405242
Mehdipatnam Bus Station,17.3948051,78.4404249
Mehdipatnam Bus Station,17.3947641,78.4404769
,17.4589657,78.5000894
,17.4589452,78.5002707
old safilguda,17.46921,78.5492544
uppal,17.5125871,78.339186
indiramma colony bus stop,17.5694643,78.4426636
jagathgiri gutta bus stop,17.5020614,78.4260712
Narsingi Bus Stop,17.3854116,78.3545048
,17.2265858,78.3987667
Gandhi Nagar Bus stop,17.3913148,78.543651
,17.4994291,78.3894893
Srinivas Nagar Last Bus Stop,17.5113036,78.4239601
srinivas nagar,17.5114776,78.4247147
E- Seva,17.5089536,78.4285379
Maqdoom Nagar bus stop,17.508136,78.4296361
Ganesh Nagar Bus Stop,17.4916892,78.4514832
Ramaram X road bus stop,17.5108435,78.447589
auto Stamd,17.5104947,78.4476599
umcc,17.5223087,78.4293048
Nanda Nagar,17.4893076,78.4445332
2nd Phase bus Stop,17.4601463,78.5642815
Madhuban Colony,17.3012944,78.4382809
,17.3684133,78.5241497
Mazidpur X Roads,17.2875979,78.6935578
RTC Colony,17.4199483,78.6068151
Chengicherla IDA Entrance,17.4114348,78.6070496
Chengicherla Depot Bus Stop,17.4227511,78.6060886
Peerzadiguda Road Bus Stop,17.4013579,78.5815697
Uppal Depot Bus Stop,17.4053501,78.588911
Abdullapurmettu Bus Stop,17.3098347,78.6867411
Abdullapurmettu Bus Stop,17.3100121,78.6866162
RFC Bus Stop,17.3116197,78.6825877
RFC Bus Stop,17.3118311,78.6824653
SGM Polytechnic,17.3132208,78.6788998
Peddamberpet,17.3214309,78.6387324
Peddamberpet,17.3215876,78.6387132
Peddamberpet X Roads,17.3204344,78.6417859
Word & Deed Colony,17.3208011,78.6137856
Chengicherla,17.4332003,78.6084647
Chengicherla,17.4331107,78.6085864
Shkati,17.4489891,78.6115598
Shakthi Sai Nagar Kaman,17.4489672,78.611471
Cherlapalli Railway Station,17.4590351,78.6043469
LB Nagar Bus Stop,17.347001,78.5511269
LB Nagar Bus Stop,17.3460037,78.5507702
Chengicherla Bus Depot road,17.4227743,78.6061024
,17.3955731,78.3149717
Chengicherla Road Bus Stop,17.4114477,78.6070518
AP/TS RTC Bus Stop,17.2379774,78.4285696
,17.4734856,78.5507089
,17.4945147,78.3944117
Jntu Bus Stop,17.4964222,78.3940452
,17.4343964,78.3688876
,17.4308354,78.3724103
,17.4444819,78.4872492
,17.4428102,78.4974573
,17.4430034,78.4939211
,17.442626,78.3774021
,17.4669656,78.4453181
,17.4796632,78.3901641
Jubilee Hills - Checkpost,17.4263581,78.4166031
Khajaguda X Road,17.4222531,78.3832381
,17.4121581,78.4321338
Diamond Point,17.4622818,78.4909154
Rampally X Roads Bus stop,17.4937197,78.6058267
Rampally X Roads Bus stop,17.4936091,78.6056213
Rampally X Roads Bus stop,17.493982,78.6057502
Rampally X  Roads Bus stop,17.4942808,78.6065174
Nagaram Bus stop,17.4879013,78.6009771
ICFAI Bus stop,17.4187227,78.2188418
,17.4209535,78.4113173
,17.4185971,78.4130492
,17.4060315,78.4671352
Opp. Cyber Gateway Bus Stop,17.4461896,78.3775642
,17.4474811,78.3842208
,17.4411436,78.3903966
,17.441156,78.3893805
Yashoda Hospitals,17.4621433,78.3851619
Shilparamam bus bay,17.4551358,78.3781882
Hitech City 'X' Roads,17.4520621,78.3814529
,17.380171,78.5821085
jayaram nagar bus stop,17.5077267,78.4632591
jayaram nagar bus stop,17.5076748,78.4624207
Ramdev Guda,17.375228,78.3959336
Ramdev Guda,17.3752166,78.3969025
Khajaguda X Road,17.4221695,78.3811563
Shanthi nagar bus stop,17.4356845,78.5373343
james street,17.4329014,78.4868336
Khajaguda,17.4178533,78.3673233
Khajaguda,17.4181737,78.3672858
,17.5962567,78.44098296
